#;CAMINHO NO XML;CAMPO;ELE;TIPO;OCOR.;TAM.;DESCRIÄ«O;NOTAS EXPLICATIVAS;DEMANDA;VERS«O;DATA ENTREGA
41;DPS/infDPS/prest/regTrib/;opSimpNac;E;N;1-1;1;"        Situaá∆o perante Simples Nacional:

1 - N∆o Optante;
   2 - Optante - Microempreendedor Individual (MEI);
   3 - Optante - Microempresa ou Empresa de Pequeno Porte (ME/EPP);";-;;;
42;DPS/infDPS/prest/regTrib/;regApTribSN;E;N;0-1;1;"Regime de Apuraá∆o Tribut†ria pelo Simples Nacional.

Opá∆o para que o contribuinte optante pelo Simples Nacional ME/EPP (opSimpNac = 3) possa indicar, ao emitir o documento fiscal, em qual regime de apuraá∆o os tributos federais e municipal est∆o inseridos, caso tenha ultrapassado algum sublimite ou limite definido para o Simples Nacional.
 
1 ? Regime de apuraá∆o dos tributos federais e municipal pelo SN;
2 ? Regime de apuraá∆o dos tributos federais pelo SN e o ISSQN pela NFS-e conforme respectiva legislaá∆o municipal do tributo;
3 ? Regime de apuraá∆o dos tributos federais e municipal pela NFS-e conforme respectivas legilaá‰es federal e municipal de cada tributo;";"1 - Um MEI, identificado como tal na data de competància informada na DPS ap¢s a verificaá∆o na base de dados do Simples Nacional, ser† tratado sempre como MEI no Sistema Nacional NFS-e, independentemente de quaisquer circustÉncias que o pr¢prio MEI tenha detectado que o descaracterize como MEI. A informaá∆o da situaá∆o do MEI sempre ser† aquela que for verificada no Simples Nacional na data de competància informada na DPS.

2 - Uma ME/EPP deixar† de apurar o ISSQN pelo Simples Nacional quando atribuir ao campo regAPTribSN os valores 2 ou 3, conforme leiaute DPS.";;;
43;DPS/infDPS/prest/regTrib/;regEspTrib;E;N;1-1;1;"        Tipos de Regimes Especiais de Tributaá∆o Municipal:

0 - Nenhum;
1 - Ato Cooperado (Cooperativa);
2 - Estimativa;
3 - Microempresa Municipal;
4 - Not†rio ou Registrador;
5 - Profissional Autìnomo;
6 - Sociedade de Profissionais;";-;;;
44;DPS/infDPS/;toma;G;-;0-1;-;Grupo de informaá‰es relativas ao tomador do serviáo;-;;;
45;DPS/infDPS/toma/;CNPJ;CE;N;1-1;14;N£mero da inscriá∆o federal (CNPJ) do tomador de serviáo.;-;;;
46;DPS/infDPS/toma/;CPF;CE;N;1-1;11;N£mero da inscriá∆o federal (CPF) do tomador do serviáo.;-;;;
47;DPS/infDPS/toma/;NIF;CE;C;1-1;40;N£mero de identificaá∆o fiscal fornecido por ¢rg∆o de administraá∆o tribut†ria no exterior.;-;;;
48;DPS/infDPS/toma/;cNaoNIF;CE;N;1-1;1;"Motivo para n∆o informaá∆o do NIF:

0 - N∆o informado na nota de origem;
1 - Dispensado do NIF;
2 - N∆o exigància do NIF;";-;;;
49;DPS/infDPS/toma/;CAEPF;E;N;0-1;14;,;-;;;
50;DPS/infDPS/toma/;IM;E;C;0-1;15;N£mero de inscriá∆o municipal do tomador do serviáo.;-;;;
51;DPS/infDPS/toma/;xNome;E;C;1-1;150;Nome / Nome Empresarial do tomador.;-;;;
52;DPS/infDPS/toma/;end;G;-;0-1;-;Grupo de informaá‰es do endereáo do tomador do serviáo.;-;;;
53;DPS/infDPS/toma/end/;endNac;CG;-;1-1;-;Grupo de informaá‰es do endereáo nacional.;-;;;
54;DPS/infDPS/toma/end/endNac/;cMun;E;N;1-1;7;"C¢digo do munic°pio do endereáo do tomador do serviáo.
 (Tabela do IBGE)";-;;;
55;DPS/infDPS/toma/end/endNac/;CEP;E;C;1-1;8;"C¢digo numÇrico do Endereáamento Postal nacional (CEP) 
 do endereáo do tomador do serviáo.";-;;;
56;DPS/infDPS/toma/end/;endExt;CG;-;1-1;-;Grupo de informaá‰es do endereáo no exterior.;-;;;
57;DPS/infDPS/toma/end/endExt/;cPais;E;C;1-1;2;"C¢digo do pa°s do endereáo do prestador do tomador do serviáo.
 (Tabela de Pa°ses ISO)";-;;;
58;DPS/infDPS/toma/end/endExt/;cEndPost;E;C;1-1;1-11;C¢digo alfanumÇrico do Endereáamento Postal no exterior do tomador do serviáo.;-;;;
59;DPS/infDPS/toma/end/endExt/;xCidade;E;C;1-1;1-60;Nome da cidade no exterior do tomador do serviáo.;-;;;
60;DPS/infDPS/toma/end/endExt/;xEstProvReg;E;C;1-1;1-60;Estado, prov°ncia ou regi∆o da cidade no exterior do tomador do serviáo.;-;;;
61;DPS/infDPS/toma/end/;xLgr;E;C;1-1;1-255;Tipo e nome do logradouro do endereáo do tomador do serviáo.;-;;;
62;DPS/infDPS/toma/end/;nro;E;C;1-1;1-60;N£mero no logradouro do endereáo do tomador do serviáo.;-;;;
63;DPS/infDPS/toma/end/;xCpl;E;C;0-1;1-156;Complemento do endereáo do tomador do serviáo.;-;;;
64;DPS/infDPS/toma/end/;xBairro;E;C;1-1;1-60;Bairro do endereáo do tomador do serviáo.;-;;;
65;DPS/infDPS/toma/;fone;E;N;0-1;6-20;"N£mero do telefone do tomador.
(Preencher com o C¢digo DDD + n£mero do telefone. 
Nas operaá‰es com exterior Ç permitido informar o c¢digo do pa°s + c¢digo da localidade + n£mero do telefone)";-;;;
66;DPS/infDPS/toma/;email;E;C;0-1;1-80;E-mail do tomador.;;;;
67;DPS/infDPS/;interm;G;-;0-1;-;Grupo de informaá‰es relativas ao intermedi†rio do serviáo;-;;;
68;DPS/infDPS/interm/;CNPJ;CE;N;1-1;14;N£mero da inscriá∆o federal (CNPJ) do intermedi†rio de serviáo;-;;;
69;DPS/infDPS/interm/;CPF;CE;N;1-1;11;N£mero da inscriá∆o federal (CPF) do intermedi†rio do serviáo;-;;;
70;DPS/infDPS/interm/;NIF;CE;C;1-1;40;N£mero de identificaá∆o fiscal fornecido por ¢rg∆o de administraá∆o tribut†ria no exterior;-;;;
71;DPS/infDPS/interm/;cNaoNIF;CE;N;1-1;1;"Motivo para n∆o informaá∆o do NIF:

0 - N∆o informado na nota de origem;
1 - Dispensado do NIF;
2 - N∆o exigància do NIF;";-;;;
72;DPS/infDPS/interm/;CAEPF;E;N;0-1;14;N£mero do Cadastro de Atividade Econìmica da Pessoa F°sica (CAEPF) do intermedi†rio do serviáo.;-;;;
73;DPS/infDPS/interm/;IM;E;C;0-1;15;N£mero de inscriá∆o municipal do intermedi†rio do serviáo;-;;;
74;DPS/infDPS/interm/;xNome;E;C;1-1;150;Nome / Nomer Empresarial do intermedi†rio;-;;;
75;DPS/infDPS/interm/;end;G;-;0-1;-;Grupo de informaá‰es do endereáo do intermedi†rio do serviáo.;-;;;
76;DPS/infDPS/interm/end/;endNac;CG;-;1-1;-;Grupo de informaá‰es do endereáo nacional.;-;;;
77;DPS/infDPS/interm/end/endNac/;cMun;E;N;1-1;7;"C¢digo do munic°pio do endereáo do intermedi†rio do serviáo.
 (Tabela do IBGE)";-;;;
78;DPS/infDPS/interm/end/endNac/;CEP;E;C;1-1;8;"C¢digo numÇrico do Endereáamento Postal nacional (CEP) 
 do endereáo do intermedi†rio do serviáo.";-;;;
79;DPS/infDPS/interm/end/;endExt;CG;-;1-1;-;Grupo de informaá‰es do endereáo no exterior.;-;;;
80;DPS/infDPS/interm/end/endExt/;cPais;E;C;1-1;2;"C¢digo do pa°s do endereáo do prestador do intermedi†rio do serviáo.
 (Tabela de Pa°ses ISO)";-;;;
81;DPS/infDPS/interm/end/endExt/;cEndPost;E;C;1-1;1-11;C¢digo alfanumÇrico do Endereáamento Postal no exterior do intermedi†rio do serviáo.;-;;;
82;DPS/infDPS/interm/end/endExt/;xCidade;E;C;1-1;1-60;Nome da cidade no exterior do intermedi†rio do serviáo.;-;;;
83;DPS/infDPS/interm/end/endExt/;xEstProvReg;E;C;1-1;1-60;Estado, prov°ncia ou regi∆o da cidade no exterior do intermedi†rio do serviáo.;-;;;
84;DPS/infDPS/interm/end/;xLgr;E;C;1-1;1-255;Tipo e nome do logradouro do endereáo do intermedi†rio do serviáo.;-;;;
85;DPS/infDPS/interm/end/;nro;E;C;1-1;1-60;N£mero no logradouro do endereáo do intermedi†rio do serviáo.;-;;;
86;DPS/infDPS/interm/end/;xCpl;E;C;0-1;1-156;Complemento do endereáo do intermedi†rio do serviáo.;-;;;
87;DPS/infDPS/interm/end/;xBairro;E;C;1-1;1-60;Bairro do endereáo do intermedi†rio do serviáo.;-;;;
88;DPS/infDPS/interm/;fone;E;N;0-1;6-20;"N£mero do telefone do intermedi†rio.
(Preencher com o C¢digo DDD + n£mero do telefone. 
Nas operaá‰es com exterior Ç permitido informar o c¢digo do pa°s + c¢digo da localidade + n£mero do telefone)";-;;;
89;DPS/infDPS/interm/;email;E;C;0-1;1-80;E-mail do intermedi†rio.;;;;
90;DPS/infDPS/;serv;G;G;1-1;-;Grupo de informaá‰es relativas ao serviáo prestado;-;;;
91;DPS/infDPS/serv/;locPrest;G;-;1-1;-;Grupo de informaá‰es relativas ao local da prestaá∆o do serviáo;-;;;
92;DPS/infDPS/serv/locPrest/;cLocPrestacao;CE;N;1-1;7;C¢digo da localidade da prestaá∆o do serviáo.;"Para atender o dispositivo do Art 3ß, ı 2ß,
(No caso dos serviáos a que se refere o subitem 22.01 da lista anexa, considera-se ocorrido o fato gerador e devido o imposto em cada Munic°pio em cujo territ¢rio haja extens∆o de rodovia explorada.)
o Sistema Nacional NFS-e considera o trecho de concess∆o de exploraá∆o de rodovia como uma localidade de prestaá∆o de serviáo, assim como qualquer munic°pio brasileiro.

Para atender o dispositivo do Art 3ß, ı 3ß,
(Considera-se ocorrido o fato gerador do imposto no local do estabelecimento prestador nos serviáos executados em †guas mar°timas, excetuados os serviáos descritos no subitem 20.01)
o Sistema Nacional NFS-e ""µguas Mar°timas"" como uma localidade de prestaá∆o de serviáo, assim como qualquer munic°pio brasileiro.

cLocPrestacao poder† assumir: qualquer c¢digo que represente um munic°pio da tabela de c¢digos de munic°pios do IBGE, qualquer c¢digo quer represente um trecho de concess∆o de exploraá∆o de rodovias do cadastro pr¢prio do Sistema Nacional NFS-e ou 0000000, que representa ""µguas Mar°timas"".";;;
93;DPS/infDPS/serv/locPrest/;cPaisPrestacao;CE;C;1-1;2;"C¢digo do pa°s onde ocorreu a prestaá∆o do serviáo.
(Tabela de Pa°ses ISO)";-;;;
94;DPS/infDPS/serv/;cServ;G;-;1-1;-;Grupo de informaá‰es relativas ao c¢digo do serviáo prestado;-;;;
95;DPS/infDPS/serv/cServ/;cTribNac;E;N;1-1;6;C¢digo de tributaá∆o nacional do ISSQN.;"Para o caso de serviáo prestado em ""µguas Mar°timas"" o seviáo informado nunca poder† ser 20.01";;;
96;DPS/infDPS/serv/cServ/;cTribMun;E;N;0-1;3;C¢digo de tributaá∆o municipal do ISSQN.;-;;;
97;DPS/infDPS/serv/cServ/;xDescServ;E;C;1-1;1000;Descriá∆o completa do serviáo prestado;-;;;
98;DPS/infDPS/serv/cServ/;cNBS;E;N;0-1;9;C¢digo NBS correspondente ao serviáo prestado;NBS - Nomenclatura Brasileira de Serviáos, Intang°veis e outras Operaá‰es que produzam Variaá‰es no Patrimìnio;;;
99;DPS/infDPS/serv/cServ/;cIntContrib;E;C;0-1;20;C¢digo interno do contribuinte;Utilizado para identificaá∆o da DPS no Sistema interno do Contribuinte;;;
100;DPS/infDPS/serv/;comExt;G;-;0-1;-;Grupo de informaá‰es sobre transaá‰es entre residentes ou domiciliados no Brasil com residentes ou domiciliados no exterior;-;;;
101;DPS/infDPS/serv/comExt/;mdPrestacao;E;N;1-1;1;"         Modo de Prestaá∆o:

0 - Desconhecido (tipo n∆o informado na nota de origem);
1 - Transfronteiriáo;
2 - Consumo no Brasil;
3 - Movimento Tempor†rio de Pessoas F°sicas;
4 - Consumo no Exterior;";-;;;
102;DPS/infDPS/serv/comExt/;vincPrest;E;N;1-1;1;"V°nculo entre as partes no neg¢cio:

0 - Sem v°nculo com o tomador/ Prestador
1 - Controlada;
2 - Controladora;
3 - Coligada;
4 - Matriz;
5 - Filial ou sucursal;
6 - Outro v°nculo;";Adicionar ao Hint do campo: O adquirente/ Prestador do serviáo Ç pessoa considerada vinculada ao prestador/ adquirente, nos termos do art. 23 da Lei nß 9.430, de 1996;;;
103;DPS/infDPS/serv/comExt/;tpMoeda;E;N;1-1;3;"Identifica a moeda da transaá∆o comercial. 
O usu†rio deve informar o c¢digo da moeda.";"inclus∆o, no Emissor P£blico, da tabela de moedas do Banco Central do Brasil para seleá∆o pelo emitente da NFS-e. 
No Painel Nacional dever† haver funá∆o para atualizaá∆o da tabela de Moedas.";;;
104;DPS/infDPS/serv/comExt/;vServMoeda;E;N;1-1;1-15V2;Valor do serviáo prestado expresso em moeda estrangeira especificada em tpmoeda.;-;;;
105;DPS/infDPS/serv/comExt/;mecAFComexP;E;N;1-1;2;"Mecanismo de apoio/fomento ao ComÇrcio Exterior utilizado pelo prestador do serviáo:

00 - Desconhecido (tipo n∆o informado na nota de origem);
01 - Nenhum;
02 - ACC - Adiantamento sobre Contrato de CÉmbio ? Reduá∆o a Zero do IR e do IOF;
  03 - ACE ? Adiantamento sobre Cambiais Entregues - Reduá∆o a Zero do IR e do IOF;
04 - BNDES-Exim P¢s-Embarque ? Serviáos;
 05 - BNDES-Exim PrÇ-Embarque - Serviáos;
  06 - FGE - Fundo de Garantia Ö Exportaá∆o;
07 - PROEX - EQUALIZAÄ«O
 08 - PROEX - Financiamento;";Campo dispon°vel na nota do prestador;;;
106;DPS/infDPS/serv/comExt/;mecAFComexT;E;N;1-1;2;"Mecanismo de apoio/fomento ao ComÇrcio Exterior utilizado pelo tomador do serviáo:

00 - Desconhecido (tipo n∆o informado na nota de origem);
01 - Nenhum;
02 - Adm. P£blica e Repr. Internacional;
03 - Alugueis e Arrend. Mercantil de maquinas, equip., embarc. e aeronaves;
04 - Arrendamento Mercantil de aeronave para empresa de transporte aÇreo p£blico;
05 - Comiss∆o a agentes externos na exportaá∆o;
06 - Despesas de armazenagem, mov. e transporte de carga no exterior;
07 - Eventos FIFA (subsidi†ria);
08 - Eventos FIFA;
09 - Fretes, arrendamentos de embarcaá‰es ou aeronaves e outros;
10 - Material Aeron†utico;
11 - Promoá∆o de Bens no Exterior;
12 - Promoá∆o de Dest. Tur°sticos Brasileiros;
13 - Promoá∆o do Brasil no Exterior;
14 - Promoá∆o Serviáos no Exterior;
15 - RECINE;
16 - RECOPA;
17 - Registro e Manutená∆o de marcas, patentes e cultivares;
18 - REICOMP;
19 - REIDI;
20 - REPENEC;
21 - REPES;
22 - RETAERO; 
23 - RETID;
24 - Royalties, Assistància TÇcnica, Cient°fica e Assemelhados;
25 - Serviáos de avaliaá∆o da conformidade vinculados aos Acordos da OMC;
26 - ZPE;";Campo dispon°vel na nota do tomador;;;
107;DPS/infDPS/serv/comExt/;movTempBens;E;N;1-1;1;"V°nculo da Operaá∆o Ö Movimentaá∆o Tempor†ria de Bens:

0 - Desconhecido (tipo n∆o informado na nota de origem);
1 - N∆o;
2 - Vinculada - Declaraá∆o de Importaá∆o;
3 - Vinculada - Declaraá∆o de Exportaá∆o;";-;;;
108;DPS/infDPS/serv/comExt/;nDI;E;C;0-1;1-12;N£mero da Declaraá∆o de Importaá∆o (DI/DSI/DA/DRI-E) averbado.;-;;;
109;DPS/infDPS/serv/comExt/;nRE;E;C;0-1;12;N£mero do Registro de Exportaá∆o (RE) averbado.;-;;;
110;DPS/infDPS/serv/comExt/;mdic;E;N;1-1;1;"Indicador se a NFS-e dever† ser disponibilizada ao MDIC.

0 - N∆o enviar para o MDIC;
1 - Enviar para o MDIC;";-;;;
111;DPS/infDPS/serv/;lsadppu;G;-;0-1;-;Grupo de informaá‰es relativas a atividades de Locaá∆o, sublocaá∆o, arrendamento, direito de passagem ou permiss∆o de uso, compartilhado ou n∆o, de ferrovia, rodovia, postes, cabos, dutos e condutos de qualquer natureza.;-;;;
112;DPS/infDPS/serv/lsadppu/;categ;E;N;1-1;1;"Categorias do serviáo:

1 - Locaá∆o;
2 - sublocaá∆o;
3 - arrendamento;
4 - direito de passagem;
5 - permiss∆o de uso;";-;;;
113;DPS/infDPS/serv/lsadppu/;objeto;E;N;1-1;1;"Tipo de objetos da locaá∆o, sublocaá∆o, arrendamento, direito de passagem ou permiss∆o de uso:

1 - Ferrovia;
2 - Rodovia;
3 - Postes;
4 - Cabos;
5 - Dutos;
6 - Condutos de qualquer natureza;";-;;;
114;DPS/infDPS/serv/lsadppu/;extensao;E;N;0-1;5;Extens∆o total da ferrovia, rodovia, cabos, dutos ou condutos.;-;;;
115;DPS/infDPS/serv/lsadppu/;nPostes;E;N;0-1;6;N£mero total de postes.;-;;;
116;DPS/infDPS/serv;obra;G;-;0-1;-;Grupo de informaá‰es relativas Ö obras de construá∆o civil e congàneres;-;;;
117;DPS/infDPS/serv/obra/;inscImobFisc;E;C;0-1;1-30;"Inscriá∆o imobili†ria fiscal 
(c¢digo fornecido pela prefeitura para a identificaá∆o da obra ou para fins de recolhimento do IPTU)";-;;;
118;DPS/infDPS/serv/obra/;cObra;CE;C;1-1;1-30;"N£mero de identificaá∆o da obra.
Cadastro Nacional de Obras (CNO) ou Cadastro Espec°fico do INSS (CEI).";-;;;
119;DPS/infDPS/serv/obra/;end;CG;-;1-1;-;Grupo de informaá‰es do endereáo da obra.;-;;;
120;DPS/infDPS/serv/obra/end/;CEP;CE;C;1-1;8;C¢digo de Endereáamento Postal numÇrico do endereáo nacional da obra.;-;;;
121;DPS/infDPS/serv/obra/end/;endExt;CG;-;1-1;-;Grupo de informaá‰es descritivas do endereáo no exterior da obra.;-;;;
122;DPS/infDPS/serv/obra/end/endExt/;cEndPost;E;C;1-1;1-11;C¢digo de Endereáamento Postal alfanumÇrico do endereáo no exterior da obra.;-;;;
123;DPS/infDPS/serv/obra/end/endExt/;xCidade;E;C;1-1;1-60;Nome da cidade no exterior, local da obra.;-;;;
124;DPS/infDPS/serv/obra/end/endExt/;xEstProvReg;E;C;1-1;1-60;Estado, prov°ncia ou regi∆o da cidade no exterior, local da obra.;-;;;
125;DPS/infDPS/serv/obra/end/;xLgr;E;C;1-1;1-255;Tipo e nome do logradouro do endereáo da obra.;-;;;
126;DPS/infDPS/serv/obra/end/;nro;E;C;1-1;1-60;N£mero no logradouro do endereáo da obra.;-;;;
127;DPS/infDPS/serv/obra/end/;xCpl;E;C;0-1;1-156;Complemento do endereáo da obra.;-;;;
128;DPS/infDPS/serv/obra/end/;xBairro;E;C;1-1;1-60;Bairro do endereáo da obra.;-;;;
129;DPS/infDPS/serv/;atvEvento;G;-;0-1;-;Grupo de informaá‰es relativas Ö atividades de eventos;-;;;
130;DPS/infDPS/serv/atvEvento/;xNome;E;C;1-1;255;Nome do evento Art°stico, Cultural, Esportivo, ...;-;;;
131;DPS/infDPS/serv/atvEvento/;dtIni;E;D;1-1;-;"Data de in°cio da atividade de evento.
Ano, Màs e Dia (AAAA-MM-DD)";-;;;
132;DPS/infDPS/serv/atvEvento/;dtFim;E;D;1-1;-;"Data de fim da atividade de evento.
Ano, Màs e Dia (AAAA-MM-DD)";-;;;
133;DPS/infDPS/serv/atvEvento/;idAtvEvt;CE;C;1-1;1-30;"Identificaá∆o da Atividade de Evento 
(c¢digo identificador de evento determinado pela Administraá∆o Tribut†ria Municipal)";Choice com o grupo de endereáo da atividade de evento;;;
134;DPS/infDPS/serv/atvEvento/;end;CG;-;1-1;-;Grupo de informaá‰es do endereáo da atividade de evento.;;;;
135;DPS/infDPS/serv/atvEvento/end/;CEP;CE;C;1-1;8;C¢digo de Endereáamento Postal numÇrico do endereáo nacional da atividade de evento.;;;;
136;DPS/infDPS/serv/atvEvento/end/;endExt;CG;-;1-1;-;Grupo de informaá‰es descritivas do endereáo no exterior da atividade de evento.;;;;
137;DPS/infDPS/serv/atvEvento/end/endExt/;cEndPost;E;C;1-1;11;C¢digo de Endereáamento Postal alfanumÇrico do endereáo no exterior da atividade de evento.;;;;
138;DPS/infDPS/serv/atvEvento/end/endExt/;xCidade;E;C;1-1;1-60;Nome da cidade no exterior, local da atividade de evento.;;;;
139;DPS/infDPS/serv/atvEvento/end/endExt/;xEstProvReg;E;C;1-1;1-60;Estado, prov°ncia ou regi∆o da cidade no exterior, local da atividade de evento.;;;;
140;DPS/infDPS/serv/atvEvento/end/;xLgr;E;C;1-1;1-255;Tipo e nome do logradouro do endereáo da atividade de evento.;;;;
141;DPS/infDPS/serv/atvEvento/end/;nro;E;C;1-1;1-60;N£mero no logradouro do endereáo da atividade de evento.;;;;
142;DPS/infDPS/serv/atvEvento/end/;xCpl;E;C;0-1;1-156;Complemento do endereáo da atividade de evento.;;;;
143;DPS/infDPS/serv/atvEvento/end/;xBairro;E;C;1-1;1-60;Bairro do endereáo da atividade de evento.;;;;
144;DPS/infDPS/serv/;explRod;G;-;0-1;-;Grupo de informaá‰es relativas a atividades de Exploraá∆o de Rodovia;-;;;
145;DPS/infDPS/serv/explRod/;categVeic;E;N;1-1;2;"Categorias de ve°culos para cobranáa:

00 - Categoria de Ve°culos (tipo n∆o informado na nota de origem);
01 - Autom¢vel, caminhonete e furg∆o;
02 - Caminh∆o leve, ìnibus, caminh∆o trator e furg∆o;
03 - Autom¢vel e caminhonete com semireboque;
04 - Caminh∆o, caminh∆o-trator, caminh∆o-trator com semi-reboque e ìnibus;
05 - Autom¢vel e caminhonete com reboque;
06 - Caminh∆o com reboque;
07 - Caminh∆o trator com semi-reboque;
08 - Motocicletas, motonetas e bicicletas motorizadas;
09 - Ve°culo especial;
10 - Ve°culo Isento;";"Precisa maior refinamento.

A categorizaá∆o de ve°culo e a rodagem parecem ser um tipo de padr∆o nacional usado para cobranáa de ped†gio. Deve-se confirmar junto Ös concession†rias ou ANTT e avaliar se faz sentido ser informado no documento fiscal.

Agregamos mais itens (alÇm dos que j† estabelecidos na IN RFB 1731) para aprofundar as discuss‰es, pois o entendimento destas informaá‰es espec°ficas para ped†gio no leiaute DPS podem influenciar a construá∆o do Painel Administrativo para Contratos de Ped†gio.

A especificaá∆o atÇ o momento realizada para este painel, a ser realizada pela pr¢pria concession†ria est† muito bem encaminhada na prÇ-especificaá∆o que foi realizada.

Uma vez concebido um fluxo de processo para a emiss∆o e recepá∆o do documento fiscal pela concession†ria prestadora do serviáo descrito no subitem 22.01, Ç necess†rio aprofundar as discuss‰es sobre as informaá‰es que ser∆o necess†rias no leiaute pensando no painel para incluir ou dispensar esta ou outra informaá∆o, se ser∆o o n∆o validadas com as informaá‰es cadastradas no painel.";;;
146;DPS/infDPS/serv/explRod/;nEixos;E;N;1-1;1-2;N£mero de eixos para fins de cobranáa.;;;;
147;DPS/infDPS/serv/explRod/;rodagem;E;N;1-1;1;"Tipo de rodagem:

1 - Simples;
2 - Dupla;";;;;
148;DPS/infDPS/serv/explRod/;sentido;E;C;1-1;1-3;"Orientaá∆o de passagem do ve°culo:

∂ngulo em graus a partir do norte geogr†fico em sentido hor†rio, n£mero inteiro de 0 a 359, onde 0ß seria o norte, 90ß o leste, 180ß o sul, 270ß o oeste. Precis∆o m°nima de 10.";;;;
149;DPS/infDPS/serv/explRod/;placa;E;C;1-1;7;Placa do ve°culo.;;;;
150;DPS/infDPS/serv/explRod/;codAcessoPed;E;C;1-1;10;C¢digo de acesso gerado automaticamente pelo sistema emissor da concession†ria.;Identifica unicamente a DPS pelo tomador de serviáo que informar† este c¢digo na consulta p£blica realizada no Sistema Nacional NFS-e, o que possibilitar† incluir seu CPF/CNPJ na DPS.;;;
151;DPS/infDPS/serv/explRod/;codContrato;E;C;1-1;4;C¢digo de contrato do cadastro da concession†ria.;Este c¢digo foi gerado automaticamente pelo sistema nacional quando do cadastro do contrato de concess∆o para exploraá∆o da rodovia da concession†ria.;;;
152;DPS/infDPS/serv;infoCompl;G;-;0-1;-;Grupo de informaá‰es complementares dispon°vel para todos os serviáos prestados;Campos poss°veis de preenchimento na DPS para todos os subitens da lista de serviáos que forem prestados;;;
153;DPS/infDPS/serv/infoCompl/;idDocTec;E;C;0-1;1-40;"Identificador de Documento de Responsabilidade TÇcnica:
ART, RRT, DRT, Outros.";;;;
154;DPS/infDPS/serv/infoCompl/;docRef;E;C;0-1;255;Chave da nota, n£mero identificador da nota, n£mero do contrato ou outro identificador de documento emitido pelo prestador de serviáos, que subsidia a emiss∆o dessa nota pelo tomador do serviáo ou intermedi†rio (preenchimento obrigat¢rio caso a nota esteja sendo emitida pelo Tomador ou intermedi†rio do serviáo).;;;;
155;DPS/infDPS/serv/infoCompl/;xInfComp;E;C;0-1;2000;Campo livre para preenchimento pelo contribuinte.;;;;
156;DPS/infDPS/;valores;G;-;1-1;-;Grupo de informaá‰es relativas Ö valores do serviáo prestado;-;;;
157;DPS/infDPS/valores/;vServPrest;G;-;1-1;-;Grupo de informaá‰es relativas aos valores do serviáo prestado;-;;;
158;DPS/infDPS/valores/vServPrest/;vReceb;E;N;0-1;1-15V2;Valor monet†rio recebido pelo intermedi†rio do serviáo (R$).;-;;;
159;DPS/infDPS/valores/vServPrest/;vServ;E;N;1-1;1-15V2;Valor monet†rio do serviáo (R$).;-;;;
160;DPS/infDPS/valores/;vDescCondIncond;G;-;0-1;-;Grupo de informaá‰es relativas aos descontos condicionados e incondicionados;-;;;
161;DPS/infDPS/valores/vDescCondIncond/;vDescIncond;E;N;0-1;1-15V2;Valor monet†rio do desconto incondicionado (R$).;-;;;
162;DPS/infDPS/valores/vDescCondIncond/;vDescCond;E;N;0-1;1-15V2;Valor monet†rio do desconto condicionado (R$).;-;;;
163;DPS/infDPS/valores/;vDedRed;G;-;0-1;-;Grupo de informaá‰es relativas ao valores para deduá∆o/reduá∆o do valor da base de c†lculo (valor do serviáo);-;;;
164;DPS/infDPS/valores/vDedRed/;pDR;CE;N;1-1;1-3V2;Valor percentual padr∆o para deduá∆o/reduá∆o do valor do serviáo.;"As tràs opá‰es para informaá∆o de Deduá∆o/Reduá∆o, caso exista, s∆o:
Valor, Percentual ou Documento;";;;
165;DPS/infDPS/valores/vDedRed/;vDR;CE;N;1-1;1-15V2;Valor monet†rio padr∆o para deduá∆o/reduá∆o do valor do serviáo.;;;;
166;DPS/infDPS/valores/vDedRed/;documentos;CG;-;1-1;-;Grupo de informaá‰es de documento utilizado para deduá∆o/reduá∆o do valor da base de c†lculo (valor do serviáo);;;;
